title,year,genres,rating,votes
The Man from Earth,2007,"Drama,Fantasy,Sci-Fi",7.9,166207
Death Note,2006,"Crime,Drama,Fantasy",7.7,27697
Friday Night Lights,2006,"Drama,Sport",8.7,53248
Into the Wild,2007,"Adventure,Biography,Drama",8.1,545244
The Tudors,2007,"Drama,History,Romance",8.1,65449
American Gangster,2007,"Biography,Crime,Drama",7.8,377842
Eastern Promises,2007,"Action,Crime,Drama",7.6,220114
Samsara,2011,"Documentary,Music",8.5,31340
Dexter,2006,"Crime,Drama,Mystery",8.6,618519
Jane Eyre,2006,"Drama,Romance",8.3,18549
Drive,2011,"Crime,Drama",7.8,545317
In Bruges,2008,"Comedy,Crime,Drama",7.9,376240
Atonement,2007,"Drama,Mystery,Romance",7.8,237403
Dallas Buyers Club,2013,"Biography,Drama",8.0,419627
Ergo Proxy,2006,"Action,Adventure,Animation",8.0,11554
Planet Earth,2006,Documentary,9.4,158348
Eureka,2006,"Adventure,Comedy,Drama",7.9,46251
Star Trek,2009,"Action,Adventure,Sci-Fi",7.9,566273
Grand Theft Auto IV,2008,"Action,Adventure,Comedy",8.9,30031
Mad Men,2007,Drama,8.6,192236
The Black Donnellys,2007,"Crime,Drama",8.1,13450
Jericho,2006,"Action,Drama,Mystery",7.9,52745
Mushi-Shi,2005,"Animation,Drama,Fantasy",8.5,11080
Persepolis,2007,"Animation,Biography,Drama",8.0,85077
The Girl Who Leapt Through Time,2006,"Adventure,Animation,Comedy",7.8,56382
Burn Notice,2007,"Action,Crime,Drama",7.9,66146
The Counterfeiters,2007,"Crime,Drama,History",7.6,41966
Seven Pounds,2008,Drama,7.6,277454
Pirates of the Caribbean: The Legend of Jack Sparrow,2006,"Action,Adventure,Comedy",7.8,10560
Religulous,2008,"Comedy,Documentary,War",7.6,56647
Pokiri,2006,"Action,Thriller",7.9,11854
The Book Thief,2013,"Drama,War",7.6,122807
Interstellar,2014,"Adventure,Drama,Sci-Fi",8.6,1390381
Flipped,2010,"Comedy,Drama,Romance",7.7,77759
Changeling,2008,"Biography,Crime,Drama",7.7,228816
The Killing,2007,"Crime,Drama,Mystery",8.4,22903
Superbad,2007,Comedy,7.6,501631
The Lost Room,2006,"Action,Fantasy,Mystery",8.2,28046
Tekkonkinkreet,2006,"Action,Adventure,Animation",7.6,12019
In Treatment,2008,Drama,8.3,14768
Metalocalypse,2006,"Animation,Comedy,Music",8.2,14908
Superman II: The Richard Donner Cut,2006,"Action,Adventure,Romance",7.7,13567
Skins,2007,Drama,8.2,71408
True Blood,2008,"Drama,Fantasy,Mystery",7.9,223314
Legend of the Seeker,2008,"Action,Adventure,Drama",7.6,32557
Sense & Sensibility,2008,"Drama,Romance",8.0,10014
The Avengers,2012,"Action,Adventure,Sci-Fi",8.0,1222822
The Island,2006,Drama,7.9,10542
Paprika,2006,"Animation,Drama,Fantasy",7.7,65381
Terminator: The Sarah Connor Chronicles,2008,"Action,Drama,Sci-Fi",7.7,56245
Phineas and Ferb,2007,"Action,Animation,Comedy",7.9,30981
The Visitor,2007,Drama,7.6,40764
Evangelion: 2.0 You Can (Not) Advance,2009,"Action,Animation,Drama",8.0,14683
Elite Squad,2007,"Action,Crime,Drama",8.1,94780
Flight of the Conchords,2007,"Comedy,Music,Musical",8.5,52840
Eastbound & Down,2009,"Comedy,Drama,Sport",8.2,49434
Frost/Nixon,2008,"Biography,Drama,History",7.7,99350
Chak de! India,2007,"Drama,Family,Sport",8.2,69713
Life,2007,"Crime,Drama,Mystery",8.3,31953
Destiny,2006,Drama,7.9,10937
Ponyo,2008,"Adventure,Animation,Comedy",7.7,113090
Death Note,2006,"Animation,Crime,Drama",9.0,205197
The Blind Side,2009,"Biography,Drama,Sport",7.6,278595
The Edge of Heaven,2007,Drama,7.8,29658
Man vs. Wild,2006,"Adventure,Reality-TV",8.1,21411
The Hurt Locker,2008,"Drama,Thriller,War",7.6,406299
The Penguins of Madagascar,2008,"Action,Adventure,Animation",7.6,15011
How to Train Your Dragon,2010,"Action,Adventure,Animation",8.1,637369
The Big Bang Theory,2007,"Comedy,Romance",8.1,682641
The Hobbit: An Unexpected Journey,2012,"Adventure,Family,Fantasy",7.8,736598
Breaking Bad,2008,"Crime,Drama,Thriller",9.5,1324886
Californication,2007,"Comedy,Drama",8.3,167553
Once,2007,"Drama,Music,Romance",7.8,107485
Gavin & Stacey,2007,"Comedy,Romance",8.1,15407
WALL·E,2008,"Adventure,Animation,Family",8.4,951616
Damages,2007,"Crime,Drama,Mystery",8.1,27048
The Boy in the Striped Pajamas,2008,"Drama,War",7.8,180367
The King of Kong: A Fistful of Quarters,2007,"Biography,Documentary",8.1,33882
Evangelion: 1.0 You Are (Not) Alone,2007,"Action,Animation,Drama",7.7,16619
Pushing Daisies,2007,"Comedy,Drama,Fantasy",8.3,52202
Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure,Family,Fantasy",7.7,448653
Assassin's Creed,2007,"Action,Adventure,Fantasy",8.1,16253
Summer Heights High,2007,"Comedy,Drama,Family",8.4,13756
Chuck,2007,"Action,Comedy,Drama",8.2,123651
Taken,2008,"Action,Thriller",7.8,550716
Shelter,2007,"Drama,Romance,Sport",7.7,20236
Game of Thrones,2011,"Action,Adventure,Drama",9.3,1652887
Lifted,2006,"Animation,Comedy,Family",7.9,17118
Black Swan,2010,"Drama,Thriller",8.0,673115
Tengen toppa gurren lagann,2007,"Action,Adventure,Animation",8.3,13263
Reaper,2007,"Adventure,Comedy,Drama",7.7,22747
Moonlight,2007,"Drama,Fantasy,Horror",7.6,23130
Pilot,2008,"Crime,Drama,Thriller",9.0,22376
Black Lagoon,2006,"Action,Adventure,Animation",8.0,10759
The Fighter,2010,"Biography,Drama,Sport",7.8,327384
The Reader,2008,"Drama,Romance",7.6,223750
